,slang,formal
4081,rezeqinya,rezekinya
4082,pintr,pintar
4083,dekk,dek
4084,maw,mau
4085,kura2,kura-kura
4086,edaaann,edan
4087,nempel,menempel
4088,hatiiii,hati
4089,sukkaa,suka
4090,luuuucuuu,lucu
4091,caantiiik,cantik
4092,luucuuu,lucu
4093,putihh,putih
4094,"terus""an",terus-terusan
4095,siiih,sih
4096,ternyataa,ternyata
4097,pollll,pol
4098,sekaliiii,sekali
4099,peduliin,mempedulikan
4100,komntr,komentar
4101,smngat,semangat
4102,dosax,dosanya
4103,pahalax,pahalanya
4104,akhirt,akhirat
4105,tinggalkn,tinggalkan
4106,rumh,rumah
4107,mk,maka
4108,trhtung,terhitung
4109,naaaa,nya
4110,ademmm,adem
4111,cerdass,cerdas
4112,tambahh,tambah
4113,polll,pol
4114,didengerin,didengarkan
4115,mantapppppp,mantap
4116,ngerespon,merespons
4117,dulurrr,dulur
4118,brusaha,berusaha
4119,lebh,lebih
4120,amin2,amin-amin
4121,positippp,positif
4122,jauuhhh,jauh
4123,brhjb,berhijab
4124,mdh2n,mudah-mudahan
4125,slmnya,salamnya
4126,jlbb,jilbab
4127,dempga,semoga
4128,selmnya,selamanya
4129,tth,teteh
4130,otot2,otot-otot
4131,lengkeeett,lengket
4132,caaannnttiikkk,cantik
4133,trusss,terus
4134,ademm,adem
4135,apalagiii,apalagi
4136,passs,pas
4137,beginii,begini
4138,satuu,satu
4139,cuantek,cantik
4140,akuuuur,akur
4141,iniehh,ini
4142,sayangx,sayangnya
4143,jodohx,jodohnya
4144,kaliaan,kalian
4145,haslnya,hasilnya
4146,kencng,kencang
4147,pmbantu,pembantu
4148,kmbl,kembali
4149,cuchook,cocok
4150,kloop,klop
4151,sempurnaa,sempurna
4152,klihatan,kelihatan
4153,cintax,cintanya
4154,pnuh,penuh
4155,ngrti,mengerti
4156,"mudah""an",mudah-mudahan
4157,"segala""ny",segala-galanya
4158,mantanny,mantannya
4159,jodohny,jodohnya
4160,cantk,cantik
4161,ituuu,itu
4162,kaasian,kasihan
4163,padhl,padahal
4164,"ank""",anak-anak
4165,pkrin,pikirkan
4166,anakx,anaknya
4167,sia2kan,sia-siakan
4168,naaahhh,nah
4169,beluumm,belum
4170,sayangggq,sayangku
4171,kreean,keren
4172,ciiieee,cie
4173,cieee,cie
4174,cieeee,cie
4175,berenanh,berenang
4176,pacarr,pacar
4177,bingitss,banget
4178,besokkk,besok
4179,annnnjjjjjjrrrr,anjir
4180,ngeliatin,melihati
4181,ngumbar2,mengumbar-umbar
4182,romantiss,romantis
4183,cocook,cocok
4184,lucuuuuuuuu,lucu
4185,kaaaaaann,kan
4186,nyaaaaaaa,nya
4187,lgs,langsung
4188,yaang,yang
4189,bangedt,banget
4190,gde,gede
4191,lutunaaa,lucunya
4192,bikinnn,bikin
4193,keee,ke
4194,bungkuuussss,bungkus
4195,lucux,lucunya
4196,bntr,bentar
4197,buanyaaak,banyak
4198,aaamiiinnn,amin
4199,aaamiiin,amin
4200,ntap,mantap
4201,abgnyaah,abangnya
4202,mungkiin,mungkin
4203,akuhh,aku
4204,manteb,mantap
4205,hiduupppp,hidup
4206,tebel,tebal
4207,nganggepin,menanggapi
4208,"mentang""",mentang-mentang
4209,najiss,najis
4210,perjabatt,pejabat
4211,makany,makanya
4212,benneeeeeerr,benar
4213,krjaan,pekerjaan
4214,kdng,kadang
4215,kdang,kadang
4216,knan,kanan
4217,anak'y,anaknya
4218,trknal,terkenal
4219,"gtu""",begitu-gitu
4220,klok,kalo
4221,aamiiiinnnnn,amin
4222,pengennnn,ingin
4223,guw,gue
4224,siiiiiiippppppppp,sip
4225,selaloe,selalu
4226,donggg,dong
4227,beruntungnyaaaa,beruntungnya
4228,soal'y,soalnya
4229,prhatian,perhatian
4230,hebaat,hebat
4231,ampunn,ampun
4232,gueeeee,gue
4233,liatt,lihat
4234,gehh,gih
4235,ankknyaaa,anaknya
4236,centilnyaaaaaa,centilnya
4237,gemesshzzzzhzzhzhzhsjssjs,gemas
4238,ngacaaa,mengaca
4239,diaaa,dia
4240,jirr,anjir
4241,kayaa,kaya
4242,cempreeng,cempreng
4243,centillll,centil
4244,pcran,pacaran
4245,anedh,banget
4246,ampyunnnn,ampun
4247,boro2,boro-boro
4248,nyta,nyata
4249,kampungn,kampungan
4250,j,saja
4251,mnghina,menghina
4252,ngolokin,mengolok
4253,blum,belum
4254,"syirik""",syirik-syirik
4255,than,tahan
4256,dsr,dasar
4257,siriik,sirik
4258,mampuuu,mampu
4259,khan,kan
4260,aduuhh,aduh
4261,cemburuu,cemburu
4262,bingitzzzz,banget
4263,tlog,tolong
4264,apasihhh,apasih
4265,sirikk,sirik
4266,dbnding,dibanding
4267,nrka,neraka
4268,s3ndiri,sendiri
4269,bhgiain,membahagiakan
4270,kdua,kedua
4271,prcya,percaya
4272,bhagaia,bahagia
4273,cuco,cocok
4274,genittt,genit
4275,kx,kak
4276,mlikk,milik
4277,"mentah""",mentah-mentah
4278,canci,cantik
4279,aneed,banget
4280,gimanaa,bagaimana
4281,lainnn,lain
4282,pentingg,penting
4283,bagaimanaaa,bagaimana
4284,krudung,kerudung
4285,enakkkkk,enak
4286,poool,pol
4287,jirrrr,anjir
4288,oprasiya,operasinya
4289,uwee,gue
4290,pilihannny,pilihannya
4291,itumahh,itumah
4292,muuuu,mu
4293,uuhhh,uh
4294,berbakiti,berbakti
4295,alhamd,alhamdulillah
4296,slmttt,selamat
4297,ucapin,mengucapkan
4298,tetp,tetap
4299,ditengah2,ditengah-tengah
4300,semuanyaa,semuanya
4301,semuannyaaa,semuanya
4302,aminn2,amin-amin
4303,abs,habis
4304,kebnyak'an,kebanyakan
4305,melahirin,melahirkan
4306,aduuuh,aduh
4307,cakeep,cakep
4308,lhooo,loh
4309,kamuuuu,kamu
4310,bagi2,bagi-bagi
4311,gimn,bagaimana
4312,smogaaa,semoga
4313,biza,bisa
4314,aamien,amien
4315,lngsing,langsing
4316,wowoooww,wow
4317,smulla,semula
4318,pdhall,padahal
4319,blln,bulan
4320,senang2,senang-senang
4321,jh,saja
4322,kereeennnn,keren
4323,gilakkk,gila
4324,gtu2,begitu-gitu
4325,cpet,cepat
4326,gataunya,enggak taunya
4327,gtau,enggak tau
4328,fans2,fan-fan
4329,gaharus,enggak harus
4330,knapa,kenapa
4331,sy,saya
4332,bobo,tidur
4333,haloo,halo
4334,halooo,halo
4335,gblk,goblok
4336,ajg,anjing
4337,mmantab,mantap
4338,bgo,bego
4339,goblk,goblok
4340,anjg,anjing
4341,ngabarin,mengabarkan
4342,subuh2,subuh-subuh
4343,gbsa,ga bisa
4344,ajay,anjay
4345,wuiiihh,wih
4346,gaes,guys
4347,pertanyaanny,pertanyaannya
4348,biat,buat
4349,ctk,cantik
4350,gosah,gak usah
4351,mbakyu,mbak ayu
4352,ditelp,ditelpon
4353,gub,gubernur
4354,bwh,bawah
4355,mnrt,menurut
4356,kndisi,kondisi
4357,mnganalisa,menganalisa
4358,lebar²,lebar-lebar
4359,trkait,terkait
4360,dilaporkn,dilaporkan
4361,trkena,terkenal
4362,sbgi,sebagai
4363,bk,buka
4364,ust,ustadz
4365,bpk,bapak
4366,erempuan,perempuan
4367,wooy,woy
4368,pleh,oleh
4369,bertahun2,bertahun-tahun
4370,ancur2an,hancur-hancuran
4371,tahunx,tahunnya
4372,berpa,berapa
4373,btw,by the way
4374,paksin,vaksin
4375,trmkash,terima kasih
4376,rese,resek
4377,yesss,yes
4378,dadi,jadi
4379,ora,tidak
4380,ngapusi,bohong
4381,wong,orang
4382,kudu,harus
4383,guyu,ketawa
4384,ora,tidak
4385,n,dan
4386,siaaap,siap
4387,byr,bayar
4388,yaaaaa,ya
4389,yaaaaa,makanya
4390,kmanusiaan,kemanusiaan
4391,tf,transfer
4392,jangaaan,jangan
4393,bantuin,membantu
4394,embel2,embel-embel
4395,tks,terima kasih
4396,kagak,tidak
4397,anjimmm,anjing
4398,sialannn,sialan
4399,coookkk,jancuk
4400,trf,transfer
4401,gabisaa,tidak bisa
4402,gbisa,tidak bisa
4403,hadehh,aduh
4404,cepeet,cepat
4405,benerin,perbaiki
4406,lo,anda
4407,adaaa,ada
4408,ket,keterangan
4409,dahhhhhhhhh,deh
4410,hadahhhhhhhh,aduh
4411,diangakt,diangkat
