,slang,formal
1644,laginy,laginya
1645,nyaaaaaaaaaaaaa,nya
1646,alkhamdulilah,alhamdulillah
1647,ktnya,katanya
1648,selaluu,selalu
1649,anjirrr,anjir
1650,ngeh,engah
1651,amen,amin
1652,qm,kamu
1653,nahhh,nah
1654,ngmngnya,mengomongnya
1655,sampai2,sampai-sampai
1656,hal2,hal-hal
1657,komunitas2,komunitas-komunitas
1658,fotony,fotonya
1659,halllo,halo
1660,ngiritya,mengiritnya
1661,hematt,hemat
1662,ciyeeee,cie
1663,yeeee,ya
1664,nget,banget
1665,kususnya,khususnya
1666,krm,kirim
1667,sam,sama
1668,ajaaahhhhh,saja
1669,syediiihhh,sedih
1670,malangg,malang
1671,belooomm,belum
1672,yaakk,ya
1673,kebukti,terbukti
1674,anak2e,anak-anaknya
1675,tuwanya,tuanya
1676,comen2nya,komen-komennya
1677,pedesssss,pedas
1678,jelas2,jelas-jelas
1679,skg,sekarang
1680,nyebut2,menyebut-nyebut
1681,plg,pulang
1682,smbil,sambil
1683,hellooooooo,halo
1684,ngrebut,merebut
1685,mnjdi,menjadi
1686,taek,tahi
1687,lupain,melupakan
1688,bangkret,bangkrut
1689,taekk,tahi
1690,lahhhhhh,lah
1691,kedokk,kedok
1692,"mati""an",mati-matian
1693,nyimak,menyimak
1694,komenx,komennya
1695,serem2,seram-seram
1696,"ngumpet""",mengumpet-ngumpet
1697,blim,belum
1698,sekrang,sekarang
1699,ngerebut,merebut
1700,mnjijikaaaaaan,menjijikkan
1701,astgfrlh,astagfirullah
1702,sahabatt,sahabat
1703,gnyngka,enggak menyangka
1704,sendirir,sendiri
1705,brengsekk,brengsek
1706,ngomentnya,mengomentarinya
1707,nusuk,menusuk
1708,skr,sekarang
1709,dpotong,dipotong
1710,helo,halo
1711,kmrin,kemarin
1712,ngmgin,mengomongkan
1713,bilangg,bilang
1714,gkhianati,mengkhianati
1715,kpd,kepada
1716,hr,hari
1717,sp,siapa
1718,pljaran,pelajaran
1719,spy,supaya
1720,mngikuti,mengikuti
1721,klkuan,kelakuan
1722,dibikin2,dibikin-bikin
1723,gimana,bagaimana
1724,nnt,nanti
1725,cew,cewek
1726,cow,cowok
1727,kasiannn,kasihan
1728,syekaliii,sekali
1729,hgga,hingga
1730,cieeeee,cie
1731,sholihah,salihah
1732,adeuh,aduh
1733,halahh,alah
1734,luu,lu
1735,yuuks,yuk
1736,yoo,ayo
1737,ginian,beginian
1738,judulnyaa,judulnya
1739,ayoookkkkkk,ayo
1740,artix,artinya
1741,cewe,cewek
1742,cowo,cowok
1743,lt,lantai
1744,"nama""",nama-nama
1745,cwe,cewek
1746,serem,seram
1747,kepoin,mengepoi
1748,keluarin,mengeluarkan
1749,gajelas,enggak jelas
1750,mbak2,mbak-mbak
1751,pedes,pedas
1752,komentnya,komentarnya
1753,omongin,mengomongkan
1754,ngalirrrrr,mengalir
1755,idup,hidup
1756,nmbah,bertambah
1757,terossss,terus
1758,ngehujat,menghujat
1759,dosaa,dosa
1760,ngebela,membela
1761,seindonesiyah,seindonesia
1762,seh,sih
1763,senyumin,senyumi
1764,mh,mah
1765,ngalir,mengalir
1766,ngrusak,merusak
1767,px,punya
1768,kslhn,kesalahan
1769,skrngnya,sekarangnya
1770,emang,memang
1771,kalik,kali
1772,bilangin,bilang
1773,nyambungin,menyambung
1774,sllu,selalu
1775,scra,secara
1776,nggali,menggali
1777,cmpur,campur
1778,dgr,dengar
1779,kurng,kurang
1780,nangiiiiis,menangis
1781,nangiiis,menangis
1782,ngomentarin,mengomentari
1783,idupnya,hidupnya
1784,ortunya,orang tuanya
1785,woey,woy
1786,bloghhh,goblok
1787,ngomongin,mengomongkan
1788,doank,doang
1789,"abal""",abal-abal
1790,dikata2in,dikata-katai
1791,ngehina,menghina
1792,gmna,bagaimana
1793,kebanggan,kebanggaan
1794,dah,deh
1795,jngn,jangan
1796,mnjawab,menjawab
1797,woooiiiiiiii,woy
1798,dosaaaaaaaaaa,dosa
1799,ingt,ingat
1800,karmaaa,karma
1801,woooiiiii,woy
1802,ngkkkkkk,mengakak
1803,makny,maknya
1804,wdooohhh,waduh
1805,kasihn,kasihan
1806,lhirr,lahir
1807,hujatann,hujatan
1808,palgi,apalagi
1809,wihhh,wih
1810,kakakkk,kakak
1811,bagusss,bagus
1812,jt,juta
1813,ngets,banget
1814,stp,setiap
1815,penbelian,pembelian
1816,cuaantik,cantik
1817,sukakkk,suka
1818,m,sama
1819,cucokkk,cocok
1820,lyt,lihat
1821,expresi,ekspresi
1822,natap,menatap
1823,ccok,cocok
1824,helloo,halo
1825,dripada,daripada
1826,difotoin,difoto
1827,psangan,pasangan
1828,cakepp,cakep
1829,ngiriii,mengiri
1830,coxok,cocok
1831,buatin,buatkan
1832,nihhh,nih
1833,statusx,statusnya
1834,cem,macam
1835,yee,ya
1836,sunggu,sungguh
1837,lagiii,lagi
1838,ammiiin,amin
1839,haddeh,aduh
1840,maaasss,mas
1841,segerrrr,segar
1842,kemn,kemana
1843,suipit,sipit
1844,sipiit,sipit
1845,kedengeran,kedengaran
1846,semangaatt,semangat
1847,promil,program hamil
1848,lancr,lancar
1849,keputihn,keputihan
1850,gratisss,gratis
1851,kebayang,terbayang
1852,"mdh""",mudah-mudah
1853,bz,bisa
1854,amiinn,amin
1855,ammin,amin
1856,mendapatkn,mendapatkan
1857,lucuuuk,lucu
1858,amaattt,amat
1859,aje,saja
1860,yaoloh,yaallah
1861,ngerayain,merayakan
1862,sotoy,sok tau
1863,yok,yuk
1864,d.bikinin,dibikin
1865,mmz,mas
1866,bikinin,bikin
1867,bapeeeer,bawa perasaan
1868,keliatannya,kelihatannya
1869,siih,sih
1870,diginiin,dibeginikan
